code,name,market,industry,status,is_st,tradable,updated_at,source
bj920300,辰光医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920304,迪尔化工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920339,恒太照明,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920344,三元基因,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920346,威贸电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920351,华光源海,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920357,雅葆轩,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920363,莱赛激光,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920367,新赣江,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920368,连城数控,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920370,新安洁,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920371,欧福蛋业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920374,云里物里,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920375,派诺科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920378,泰德股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920392,佳合科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920394,民士达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920395,朗鸿科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920396,常辅股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920402,硅烷科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920403,康农种业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920405,海希通讯,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920407,驰诚股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920414,欧普泰,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920415,恒拓开源,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920418,苏轴股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920419,路斯股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920422,润普食品,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920425,乐创技术,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920427,华维设计,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920429,康比特,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920433,大唐药业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920436,大地电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920438,戈碧迦,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920445,龙竹科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920454,同心传动,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920455,汇隆活塞,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920469,富恒新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920471,美邦科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920475,三友科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920476,海能技术,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920478,峆一药业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920489,佳先股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920491,奥迪威,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920493,并行科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920496,许昌智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920504,博迅生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920505,九菱科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920508,殷图网联,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920509,同惠电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920510,丰光精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920519,万德股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920522,纳科诺尔,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920523,德瑞锂电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920526,凯华材料,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920527,夜光明,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920533,骏创科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920541,铁大科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920547,无锡晶海,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
